common	rareT1	rareT2	ncommon	nrareT1	nrareT2
Lung	GEL-Lung_common_SBS4_a,GEL-Lung_common_SBS2,GEL-Lung_common_SBS3+8,GEL-Lung_common_SBS92,GEL-Lung_common_SBS17,GEL-Lung_common_SBS13,GEL-Lung_common_SBS1+5,GEL-Lung_common_SBS4_b	SBS7a,SBS18,SBS28,SBS31,SBS33,SBS35,SBS38,SBS44,SBS113	SBS7a,SBS18,SBS28,SBS31,SBS33,SBS35,SBS38,SBS44,SBS113,SBS6,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS30,SBS32,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	8	9	52
Lymphoid	GEL-Lymphoid_common_SBS1,GEL-Lymphoid_common_SBS5_a,GEL-Lymphoid_common_SBS18,GEL-Lymphoid_common_SBS9,GEL-Lymphoid_common_SBS127,GEL-Lymphoid_common_SBS101,GEL-Lymphoid_common_SBS5_b,GEL-Lymphoid_common_SBS5+8,GEL-Lymphoid_common_SBS17	SBS3,SBS7a,SBS95,SBS100,SBS124,SBS169	SBS3,SBS7a,SBS95,SBS100,SBS124,SBS169,SBS2,SBS4,SBS6,SBS7c,SBS10a,SBS10d,SBS11,SBS13,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128,SBS129	9	6	57
Myeloid	GEL-Myeloid_common_SBS5_a,GEL-Myeloid_common_SBS1,GEL-Myeloid_common_SBS17,GEL-Myeloid_common_SBS18,GEL-Myeloid_common_SBS100,GEL-Myeloid_common_SBS8,GEL-Myeloid_common_SBS124,GEL-Myeloid_common_SBS5_b,GEL-Myeloid_common_SBS2+13,GEL-Myeloid_common_SBS9	SBS31,SBS57	SBS31,SBS57,SBS3,SBS4,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS44,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128,SBS129	10	2	52
NET	GEL-NET_common_SBS3+8,GEL-NET_common_SBS4_a,GEL-NET_common_SBS4_b,GEL-NET_common_SBS92,GEL-NET_common_SBS2+13,GEL-NET_common_SBS17,GEL-NET_common_SBS1,GEL-NET_common_SBS5	SBS6,SBS7a,SBS11,SBS18,SBS23,SBS44,SBS57,SBS93,SBS100,SBS121,SBS123	SBS6,SBS7a,SBS11,SBS18,SBS23,SBS44,SBS57,SBS93,SBS100,SBS121,SBS123,SBS7c,SBS10a,SBS10d,SBS14,SBS15,SBS20,SBS22,SBS24,SBS26,SBS28,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS88,SBS90,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS124,SBS126,SBS128,SBS129	8	11	53
Oral_Oropharyngeal	GEL-Oral_Oropharyngeal_common_SBS2,GEL-Oral_Oropharyngeal_common_SBS3+16,GEL-Oral_Oropharyngeal_common_SBS17,GEL-Oral_Oropharyngeal_common_SBS1,GEL-Oral_Oropharyngeal_common_SBS13,GEL-Oral_Oropharyngeal_common_SBS127,GEL-Oral_Oropharyngeal_common_SBS18	SBS4,SBS7a,SBS10a,SBS31,SBS33,SBS93,SBS121	SBS4,SBS7a,SBS10a,SBS31,SBS33,SBS93,SBS121,SBS5,SBS6,SBS7c,SBS8,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS32,SBS35,SBS38,SBS44,SBS57,SBS88,SBS90,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	7	7	54
Ovary	GEL-Ovary_common_SBS8,GEL-Ovary_common_SBS3,GEL-Ovary_common_SBS17,GEL-Ovary_common_SBS5,GEL-Ovary_common_SBS1+18,GEL-Ovary_common_SBS13	SBS2,SBS6,SBS10a,SBS14,SBS26,SBS30,SBS31,SBS35,SBS44,SBS57,SBS103,SBS111,SBS116	SBS2,SBS6,SBS10a,SBS14,SBS26,SBS30,SBS31,SBS35,SBS44,SBS57,SBS103,SBS111,SBS116,SBS4,SBS7a,SBS7c,SBS10d,SBS11,SBS15,SBS20,SBS22,SBS23,SBS24,SBS28,SBS32,SBS33,SBS38,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS104,SBS105,SBS106,SBS108,SBS112,SBS113,SBS115,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	6	13	53
Pancreas	GEL-Pancreas_common_SBS1,GEL-Pancreas_common_SBS18,GEL-Pancreas_common_SBS5,GEL-Pancreas_common_SBS17,GEL-Pancreas_common_SBS1+5+18,GEL-Pancreas_common_SBS3+8,GEL-Pancreas_common_SBS2+13	SBS6,SBS26,SBS28,SBS31,SBS44,SBS57,SBS98,SBS100,SBS108,SBS127	SBS6,SBS26,SBS28,SBS31,SBS44,SBS57,SBS98,SBS100,SBS108,SBS127,SBS4,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS30,SBS32,SBS33,SBS35,SBS38,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	7	10	54
Prostate	GEL-Prostate_common_SBS2+13+92,GEL-Prostate_common_SBS17,GEL-Prostate_common_SBS1,GEL-Prostate_common_SBS5,GEL-Prostate_common_SBS18,GEL-Prostate_common_SBS3+8	SBS4,SBS6,SBS32,SBS33,SBS35,SBS44,SBS57,SBS93,SBS97,SBS116,SBS121	SBS4,SBS6,SBS32,SBS33,SBS35,SBS44,SBS57,SBS93,SBS97,SBS116,SBS121,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS31,SBS38,SBS88,SBS90,SBS94,SBS95,SBS96,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	6	11	52
Skin	GEL-Skin_common_SBS13,GEL-Skin_common_SBS1+5+18,GEL-Skin_common_SBS17,GEL-Skin_common_SBS7a,GEL-Skin_common_SBS38	SBS2,SBS3,SBS4,SBS6,SBS7c,SBS8,SBS23,SBS32,SBS33,SBS96,SBS99,SBS106,SBS112,SBS115,SBS124,SBS125,SBS129	SBS2,SBS3,SBS4,SBS6,SBS7c,SBS8,SBS23,SBS32,SBS33,SBS96,SBS99,SBS106,SBS112,SBS115,SBS124,SBS125,SBS129,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS24,SBS26,SBS28,SBS30,SBS31,SBS35,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS97,SBS98,SBS102,SBS103,SBS104,SBS105,SBS108,SBS111,SBS113,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128	5	17	54
Stomach	GEL-Stomach_common_SBS93+121,GEL-Stomach_common_SBS17,GEL-Stomach_common_SBS13,GEL-Stomach_common_SBS5,GEL-Stomach_common_SBS3+8,GEL-Stomach_common_SBS18+100,GEL-Stomach_common_SBS18,GEL-Stomach_common_SBS1	SBS2,SBS26,SBS31,SBS44,SBS95,SBS106,SBS112	SBS2,SBS26,SBS31,SBS44,SBS95,SBS106,SBS112,SBS4,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS57,SBS88,SBS90,SBS94,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS108,SBS111,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	8	7	51
Uterus	GEL-Uterus_common_SBS17,GEL-Uterus_common_SBS3+8,GEL-Uterus_common_SBS1,GEL-Uterus_common_SBS18,GEL-Uterus_common_SBS13,GEL-Uterus_common_SBS2	SBS5,SBS9,SBS10a,SBS10d,SBS14,SBS20,SBS26,SBS31,SBS44,SBS108,SBS111	SBS5,SBS9,SBS10a,SBS10d,SBS14,SBS20,SBS26,SBS31,SBS44,SBS108,SBS111,SBS4,SBS6,SBS7a,SBS7c,SBS11,SBS15,SBS22,SBS23,SBS24,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	6	11	54
