sample1	sample2
Signature.1	829.52873955313	0
Signature.2	0	0
Signature.3	0	10258.0233919721
Signature.5	1079.85689919836	2690.93309187953
Signature.6	0	0
Signature.8	402.349309227358	1515.1221338707
Signature.13	0	1576.2683132727
Signature.17	0	0
Signature.18	0	0
Signature.20	0	0
Signature.26	0	0
Signature.30	0	0
