Signature.1	Signature.2	Signature.3	Signature.5	Signature.6	Signature.8	Signature.13	Signature.17	Signature.18	Signature.20	Signature.26	Signature.30	unassigned
sample1	838.380249370644	0	0	1049.83919593773	0	423.482013962034	0	0	0	0	0	0	659.298540729595
sample2	0	0	10266.6828495494	2656.48034646841	0	1580.56835088494	1575.19154103514	0	0	0	0	0	2326.07691206206
