GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	unassigned
sample1	0	795.485655140607	308.7992954711	294.371342409035	345.878074763022	811.06380319802	197.36183909662	218.039989921594
sample2	1636.57107581734	1464.94535385637	4224.72823445696	6661.79218815416	1570.23169795385	0	933.84351677153	1912.88793298979
