_date,total_views,unique_views
2022-12-11,3,3
2022-12-12,46,12
2022-12-13,16,9
2022-12-14,10,5
2022-12-15,34,8
2022-12-16,14,9
2022-12-17,1,1
2022-12-18,2,2
2022-12-19,12,4
2022-12-20,6,5
2022-12-21,22,7
2022-12-22,33,7
2022-12-23,15,5
2022-12-24,2,2
2022-12-25,1,1
2022-12-26,2,1
2022-12-27,35,4
2022-12-28,7,4
2022-12-29,26,5
2022-12-30,3,3
2023-01-01,3,2
2023-01-02,4,2
2023-01-03,9,4
2023-01-04,10,5
2023-01-05,71,7
2023-01-06,17,13
2023-01-07,7,4
2023-01-08,4,2
2023-01-09,24,8
2023-01-10,26,10
2023-01-11,27,8
2023-01-12,89,15
2023-01-13,56,12
2023-01-14,14,2
2023-01-15,3,2
2023-01-16,48,11
2023-01-17,23,15
2023-01-18,104,7
2023-01-19,38,14
2023-01-20,69,17
2023-01-21,8,2
2023-01-22,7,4
